gare;city
LE HAVRE;HAVRE (LE )
DIEPPE;DIEPPE
PARIS-ST-LAZARE;PARIS
CHERBOURG;CHERBOURG
CAEN;CAEN
GRANVILLE;GRANVILLE
DREUX;DREUX
BOURGES;BOURGES
PARIS-AUSTERLITZ;PARIS
NEVERS;NEVERS
ARGENTAN;MOULINS-SUR-ORNE
ORLÉANS;ROUEN
LES AUBRAIS-ORLÉANS;FLEURY-LES-AUBRAIS
PARIS-BERCY;PARIS
CALAIS VILLE;ARQUES
BOULOGNE VILLE;BOULOGNE-SUR-MER
AMIENS;DREUIL-LÈS-AMIENS
CAMBRAI VILLE;CAMBRAI
MAUBEUGE;MAUBEUGE
PARIS GARE DU NORD;PARIS
COMPIÈGNE;MARGNY-LÈS-COMPIÈGNE
LE MANS;MANS (LE )
NOGENT-LE-ROTROU;NOGENT-LE-ROTROU
CHARTRES;CHARTRES
BLOIS-CHAMBORD;BLOIS
LYON-PERRACHE;LYON
LATOUR-DE-CAROL-ENVEITG;ENVEITG
FONT-ROMEU-ODEILLO-VIA;FONT-ROMEU-ODEILLO-VIA
BRIANÇON;BRIANCON
ROMANS-BOURG-DE-PÉAGE;ROMANS-SUR-ISERE
GAP;GAP
AIX-EN-PROVENCE;AIX-EN-PROVENCE
MARSEILLE-ST-CHARLES;MARSEILLE
LES ARCS-DRAGUIGNAN;LES ARCS
GRENOBLE;GRENOBLE
CHAMBÉRY-CHAL.-LES-EAUX;CHAMBERY
ANNECY;ANNECY
AVIGNON-CENTRE;AVIGNON
LYON-PART-DIEU;LYON
DIJON-VILLE;DIJON
MÂCON-VILLE;MACON
BOURG-ST-MAURICE;BOURG-SAINT-MAURICE
ALBERTVILLE;ALBERTVILLE
BOURGOIN-JALLIEU;BOURGOIN-JALLIEU
LA CHAUX-DE-FONDS;LA CHAUX-DE-FONDS
BESANÇON-VIOTTE;BESANCON
BESANÇON-MOUILLÈRE;BESANCON
PONTARLIER;PONTARLIER
FRASNE;FRASNE
NEUCHÂTEL;NEUCHÂTEL
DOLE;DOLE
DELÉMONT;DELÉMONT
DELLE;DELLE
BIEL;BIEL
AIX-LES-BAINS-LE REVARD;AIX-LES-BAINS
ST-GERVAIS-LES-BAINS-LE FAYET;SAINT-GERVAIS-LES-BAINS
CHAMONIX-MONT-BLANC;CHAMONIX-MONT-BLANC
AULNOYE AYMERIES;AULNOYE-AYMERIES
COURTRAI/KORTRIJK;COURTRAI/KORTRIJK
LILLE FLANDRES;LILLE
BRIVE-LA-GAILLARDE;BRIVE-LA-GAILLARDE
LE CREUSOT;ÉCUISSES
NICE-VILLE;NICE
BREIL-SUR-ROYA;BREIL-SUR-ROYA
ANNEMASSE;ANNEMASSE
DECIZE;DECIZE
COPPET;COPPET
CLUSES (HTE-SAVOIE);CLUSES
FORBACH;FORBACH
BENING;BÉNING-LÈS-SAINT-AVOLD
BITCHE;BITCHE
BITCHE-CAMP;BITCHE
HAGUENAU;HAGUENAU
BOUXWILLER-SCHATTENMANN;BOUXWILLER-SCHATTENMANN
SAVERNE;SAVERNE
INGWILLER;INGWILLER
DOSSENHEIM-(MAIRIE);DOSSENHEIM-(MAIRIE)
OBERMODERN;OBERMODERN-ZUTZENDORF
BOUXWILLER-BABENHAUSEN;BOUXWILLER-BABENHAUSEN
STRASBOURG;STRASBOURG
BENFELD;BENFELD
COLMAR;HERRLISHEIM-PRÈS-COLMAR
BUSWILLER-EGLISE;BUSWILLER-EGLISE
ETTENDORF-PL,-DE-L'ECOL;ETTENDORF-PL,-DE-L'ECOL
ETTENDORF-(ANGLE-PONT);ETTENDORF-(ANGLE-PONT)
DIEMERINGEN;DIEMERINGEN
SARREGUEMINES;SARREGUEMINES
LUTZELBOURG;LUTZELBOURG
KRUTH;ODEREN
CERNAY (HAUT-RHIN);CERNAY
CERNAY;CERNAY
BASEL;BASEL
FROHMUHL- (LAVOIR);FROHMUHL- (LAVOIR)
HATTMATT-S.-POLYVALENTE;HATTMATT-S.-POLYVALENTE
HERRLISHEIM (BAS-RHIN);HERRLISHEIM-PRÈS-COLMAR
LAUTERBOURG;LAUTERBOURG
ENTZHEIM-AÉROPORT;ENTZHEIM-AÉROPORT
BARR;BARR
MOLSHEIM;MOLSHEIM
ROTHAU;ROTHAU
SAALES;SAALES
ALTKIRCH;ALTKIRCH
BELFORT-MONTBÉLIARD-TGV;MEROUX
