gare;city
LE HAVRE;HAVRE (LE )
DIEPPE;DIEPPE
PARIS-ST-LAZARE;PARIS
CHERBOURG;CHERBOURG
CAEN;CAEN
GRANVILLE;GRANVILLE
DREUX;DREUX
BOURGES;BOURGES
PARIS-AUSTERLITZ;PARIS
NEVERS;NEVERS
ARGENTAN;MOULINS-SUR-ORNE
ORLÃ©ANS;ROUEN
LES AUBRAIS-ORLÃ©ANS;FLEURY-LES-AUBRAIS
PARIS-BERCY;PARIS
CALAIS VILLE;ARQUES
BOULOGNE VILLE;BOULOGNE-SUR-MER
AMIENS;DREUIL-LÃS-AMIENS
CAMBRAI VILLE;CAMBRAI
MAUBEUGE;MAUBEUGE
PARIS GARE DU NORD;PARIS
COMPIÃ¨GNE;MARGNY-LÃS-COMPIÃGNE
LE MANS;MANS (LE )
NOGENT-LE-ROTROU;NOGENT-LE-ROTROU
CHARTRES;CHARTRES
BLOIS-CHAMBORD;BLOIS
LYON-PERRACHE;LYON
LATOUR-DE-CAROL-ENVEITG;ENVEITG
FONT-ROMEU-ODEILLO-VIA;FONT-ROMEU-ODEILLO-VIA
BRIANÃ§ON;BRIANCON
ROMANS-BOURG-DE-PÃ©AGE;ROMANS-SUR-ISERE
GAP;GAP
AIX-EN-PROVENCE;AIX-EN-PROVENCE
MARSEILLE-ST-CHARLES;MARSEILLE
LES ARCS-DRAGUIGNAN;LES ARCS
GRENOBLE;GRENOBLE
CHAMBÃ©RY-CHAL.-LES-EAUX;CHAMBERY
ANNECY;ANNECY
AVIGNON-CENTRE;AVIGNON
LYON-PART-DIEU;LYON
DIJON-VILLE;DIJON
MÃ¢CON-VILLE;MACON
BOURG-ST-MAURICE;BOURG-SAINT-MAURICE
ALBERTVILLE;ALBERTVILLE
BOURGOIN-JALLIEU;BOURGOIN-JALLIEU
LA CHAUX-DE-FONDS;LA CHAUX-DE-FONDS
BESANÃ§ON-VIOTTE;BESANCON
BESANÃ§ON-MOUILLÃ¨RE;BESANCON
PONTARLIER;PONTARLIER
FRASNE;FRASNE
NEUCHÃ¢TEL;NEUCHÃTEL
DOLE;DOLE
DELÃ©MONT;DELÃMONT
DELLE;DELLE
BIEL;BIEL
AIX-LES-BAINS-LE REVARD;AIX-LES-BAINS
ST-GERVAIS-LES-BAINS-LE FAYET;SAINT-GERVAIS-LES-BAINS
CHAMONIX-MONT-BLANC;CHAMONIX-MONT-BLANC
AULNOYE AYMERIES;AULNOYE-AYMERIES
COURTRAI/KORTRIJK;COURTRAI/KORTRIJK
LILLE FLANDRES;LILLE
BRIVE-LA-GAILLARDE;BRIVE-LA-GAILLARDE
LE CREUSOT;ÃCUISSES
NICE-VILLE;NICE
BREIL-SUR-ROYA;BREIL-SUR-ROYA
ANNEMASSE;ANNEMASSE
DECIZE;DECIZE
COPPET;COPPET
CLUSES (HTE-SAVOIE);CLUSES
FORBACH;FORBACH
BENING;BÃNING-LÃS-SAINT-AVOLD
BITCHE;BITCHE
BITCHE-CAMP;BITCHE
HAGUENAU;HAGUENAU
BOUXWILLER-SCHATTENMANN;BOUXWILLER-SCHATTENMANN
SAVERNE;SAVERNE
INGWILLER;INGWILLER
DOSSENHEIM-(MAIRIE);DOSSENHEIM-(MAIRIE)
OBERMODERN;OBERMODERN-ZUTZENDORF
BOUXWILLER-BABENHAUSEN;BOUXWILLER-BABENHAUSEN
STRASBOURG;STRASBOURG
BENFELD;BENFELD
COLMAR;HERRLISHEIM-PRÃS-COLMAR
BUSWILLER-EGLISE;BUSWILLER-EGLISE
ETTENDORF-PL,-DE-L'ECOL;ETTENDORF-PL,-DE-L'ECOL
ETTENDORF-(ANGLE-PONT);ETTENDORF-(ANGLE-PONT)
DIEMERINGEN;DIEMERINGEN
SARREGUEMINES;SARREGUEMINES
LUTZELBOURG;LUTZELBOURG
KRUTH;ODEREN
CERNAY (HAUT-RHIN);CERNAY
CERNAY;CERNAY
BASEL;BASEL
FROHMUHL- (LAVOIR);FROHMUHL- (LAVOIR)
HATTMATT-S.-POLYVALENTE;HATTMATT-S.-POLYVALENTE
HERRLISHEIM (BAS-RHIN);HERRLISHEIM-PRÃS-COLMAR
LAUTERBOURG;LAUTERBOURG
ENTZHEIM-AÃ©ROPORT;ENTZHEIM-AÃROPORT
BARR;BARR
MOLSHEIM;MOLSHEIM
ROTHAU;ROTHAU
SAALES;SAALES
