trip_id	trajet	duree	gare_a	gare_b	gare_a_city	gare_b_city	gare_a_matched	gare_b_matched
OCESN003100F140147152	Gare de Le Havre - Gare de Paris-St-Lazare	138	Le Havre	Paris-St-Lazare	HAVRE (LE )	PARIS	1	1
OCESN003190F040047309	Gare de Dieppe - Gare de Paris-St-Lazare	145	Dieppe	Paris-St-Lazare	DIEPPE	PARIS	1	1
OCESN003198F030037315	Gare de Paris-St-Lazare - Gare de Rouen-Rive-Droite	97	Paris-St-Lazare	Rouen-Rive-Droite	PARIS	ROUEN	1	1
OCESN003300F030037323	Gare de Cherbourg - Gare de Paris-St-Lazare	194	Cherbourg	Paris-St-Lazare	CHERBOURG	PARIS	1	1
OCESN003313F380387526	Gare de Caen - Gare de Paris-St-Lazare	149	Caen	Paris-St-Lazare	CAEN	PARIS	1	1
OCESN003371F080087908	Gare de Paris-St-Lazare - Gare de Trouville-Deauville	147	Paris-St-Lazare	Trouville-Deauville	PARIS	DEAUVILLE	1	1
OCESN003410F120128075	Gare de Granville - Gare de Paris-Montp.3-Vaug.	201	Granville	Paris-Montp.3-Vaug.	GRANVILLE	PARIS	1	1
OCESN003460F010018083	Gare de Granville - Gare de Paris-Montparnasse 1-2	195	Granville	Paris-Montparnasse 1-2	GRANVILLE	PARIS	1	1
OCESN003463F030038093	Gare de Dreux - Gare de Granville	142	Dreux	Granville	DREUX	GRANVILLE	1	1
OCESN003903F030038704	Gare de Bourges - Gare de Paris-Austerlitz	122	Bourges	Paris-Austerlitz	BOURGES	PARIS	1	1
OCESN003903F040048703	Gare de Paris-Austerlitz - Gare de Vierzon	101	Paris-Austerlitz	Vierzon	PARIS	VIERZON	1	1
OCESN003917F090098744	Gare de Bourges - Gare de Paris-Bercy	131	Bourges	Paris-Bercy	BOURGES	PARIS	1	1
OCESN003917F130138743	Gare de Nevers - Gare de Paris-Austerlitz	177	Nevers	Paris-Austerlitz	NEVERS	PARIS	1	1
OCESN003933F010018761	Gare de Bourges - Gare de Nevers	38	Bourges	Nevers	BOURGES	NEVERS	1	1
OCESN005900F0500510094	Gare de Nevers - Gare de Paris-Bercy	154	Nevers	Paris-Bercy	NEVERS	PARIS	1	1
OCESN005905F4304310108	Gare de Nevers - Gare de Paris-Gare-de-Lyon	146	Nevers	Paris-Gare-de-Lyon	NEVERS	PARIS	1	1
OCESN013272F09009-1367954595	Gare de Argentan - Gare de Paris-Montp.3-Vaug.	121	Argentan	Paris-Montp.3-Vaug.	MOULINS-SUR-ORNE	PARIS	1	1
OCESN014030F0900915588	Gare de Orléans - Gare de Paris-Austerlitz	75	Orléans	Paris-Austerlitz	ROUEN	PARIS	1	1
OCESN014033F0700715600	Gare de Paris-Austerlitz - Gare de Tours	131	Paris-Austerlitz	Tours	PARIS	JOUE-LES-TOURS	1	1
OCESN014033F0900915597	Gare de Orléans - Gare de Tours	72	Orléans	Tours	ROUEN	JOUE-LES-TOURS	1	1
OCESN014035F0800815607	Gare de Aubrais-(les) - Gare de Paris-Austerlitz	71	Les Aubrais-Orléans	Paris-Austerlitz	FLEURY-LES-AUBRAIS	PARIS	1	1
OCESN014041F1201215628	Gare de Paris-Bercy - Gare de Tours	146	Paris-Bercy	Tours	PARIS	JOUE-LES-TOURS	1	1
OCESN014043F1801815630	Gare de Orléans - Gare de Paris-Bercy	84	Orléans	Paris-Bercy	ROUEN	PARIS	1	1
OCESN014081F2102115781	Gare de Paris-Austerlitz - Gare de St-Pierre-des-Corps	118	Paris-Austerlitz	St-Pierre-des-Corps	PARIS	SAINT-PIERRE-DES-CORPS	1	1
OCESN016350F0100115870	Gare de Calais Ville - Gare de Paris Gare du Nord	183	Calais Ville	Paris Gare du Nord	ARQUES	PARIS	1	1
OCESN016372F0100115902	Gare de Boulogne Ville - Gare de Paris Gare du Nord	145	Boulogne Ville	Paris Gare du Nord	BOULOGNE-SUR-MER	PARIS	1	1
OCESN016380F0100115910	Gare de Amiens - Gare de Calais Ville	107	Amiens	Calais Ville	DREUIL-LÈS-AMIENS	ARQUES	1	1
OCESN016380F0300315908	Gare de Boulogne Ville - Gare de Calais Ville	28	Boulogne Ville	Calais Ville	BOULOGNE-SUR-MER	ARQUES	1	1
OCESN016442F0100115983	Gare de Amiens - Gare de Boulogne Ville	75	Amiens	Boulogne Ville	DREUIL-LÈS-AMIENS	BOULOGNE-SUR-MER	1	1
OCESN016444F0500515989	Gare de Amiens - Gare de Paris Gare du Nord	74	Amiens	Paris Gare du Nord	DREUIL-LÈS-AMIENS	PARIS	1	1
OCESN016450F0100115993	Gare de Cambrai Ville - Gare de Paris Gare du Nord	155	Cambrai Ville	Paris Gare du Nord	CAMBRAI	PARIS	1	1
OCESN016451F0100115996	Gare de Maubeuge - Gare de Paris Gare du Nord	119	Maubeuge	Paris Gare du Nord	MAUBEUGE	PARIS	1	1
OCESN016453F0400416001	Gare de Paris Gare du Nord - Gare de St Quentin	100	Paris Gare du Nord	St Quentin	PARIS	ST QUENTIN	1	0
